Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Lutoban Pier,0.0,1,,,,,,,1.0,1,,,,,,,2.0,1,,,,,,,10.0,1,,,,,,,14.0,1,,,,,,,27.0,1,,,,,,
Autumn 2017,Lutoban Pier,0.54,1,,,,,,,1.23,1,,,,,,,1.92,1,,,,,,,4.31,1,,,,,,,47.46,1,,,,,,,55.46,1,,,,,,
Winter 17/18,Lutoban Pier,0.36,1,,,,,,,1.73,1,,,,,,,0.64,1,,,,,,,2.36,1,,,,,,,11.27,1,,,,,,,16.36,1,,,,,,
Spring 2018,Lutoban Pier,0.42,1,,,,,,,1.32,1,,,,,,,0.47,1,,,,,,,1.63,1,,,,,,,3.11,1,,,,,,,6.95,1,,,,,,
Summer 2018,Lutoban Pier,1.21,1,,,,,,,2.21,1,,,,,,,1.5,1,,,,,,,4.57,1,,,,,,,36.07,1,,,,,,,45.57,1,,,,,,
Winter 18/19,Lutoban Pier,0.44,1,,,,,,,2.19,1,,,,,,,0.38,1,,,,,,,7.69,1,,,,,,,20.38,1,,,,,,,31.06,1,,,,,,
Spring 2019,Lutoban Pier,0.18,1,,,,,,,1.65,1,,,,,,,1.24,1,,,,,,,7.29,1,,,,,,,8.35,1,,,,,,,18.71,1,,,,,,
Summer 2019,Lutoban Pier,0.5,1,,,,,,,2.08,1,,,,,,,1.17,1,,,,,,,4.58,1,,,,,,,28.25,1,,,,,,,36.58,1,,,,,,
Autumn 2019,Lutoban Pier,0.37,1,,,,,,,1.74,1,,,,,,,1.63,1,,,,,,,10.05,1,,,,,,,19.05,1,,,,,,,32.84,1,,,,,,
Winter 19/20,Lutoban Pier,0.39,1,,,,,,,0.91,1,,,,,,,0.74,1,,,,,,,3.48,1,,,,,,,8.22,1,,,,,,,13.74,1,,,,,,
Spring 2022,Lutoban Pier,0.17,1,,,,,,,0.89,1,,,,,,,0.89,1,,,,,,,4.67,1,,,,,,,13.56,1,,,,,,,20.17,1,,,,,,
Summer 2022,Lutoban Pier,0.38,1,,,,,,,2.38,1,,,,,,,1.5,1,,,,,,,5.12,1,,,,,,,17.0,1,,,,,,,26.38,1,,,,,,
Autumn 2022,Lutoban Pier,0.5,1,,,,,,,1.5,1,,,,,,,1.0,1,,,,,,,9.0,1,,,,,,,20.7,1,,,,,,,32.7,1,,,,,,
Winter 22/23,Lutoban Pier,0.73,1,,,,,,,1.36,1,,,,,,,1.91,1,,,,,,,8.73,1,,,,,,,20.36,1,,,,,,,33.09,1,,,,,,
Spring 2023,Lutoban Pier,0.63,1,,,,,,,1.37,1,,,,,,,1.89,1,,,,,,,6.58,1,,,,,,,38.42,1,,,,,,,48.89,1,,,,,,
Summer 2023,Lutoban Pier,1.06,1,,,,,,,0.89,1,,,,,,,2.33,1,,,,,,,9.61,1,,,,,,,27.83,1,,,,,,,41.72,1,,,,,,
Autumn 2023,Lutoban Pier,0.17,1,,,,,,,1.17,1,,,,,,,1.17,1,,,,,,,8.17,1,,,,,,,15.5,1,,,,,,,26.17,1,,,,,,
Winter 23/24,Lutoban Pier,0.73,1,,,,,,,0.82,1,,,,,,,1.0,1,,,,,,,7.64,1,,,,,,,4.36,1,,,,,,,14.55,1,,,,,,
Spring 2024,Lutoban Pier,0.83,1,,,,,,,4.17,1,,,,,,,2.5,1,,,,,,,9.0,1,,,,,,,54.83,1,,,,,,,71.33,1,,,,,,
Summer 2024,Lutoban Pier,0.89,1,,,,,,,2.56,1,,,,,,,3.22,1,,,,,,,13.33,1,,,,,,,24.11,1,,,,,,,44.11,1,,,,,,
Autumn 2024,Lutoban Pier,1.36,1,,,,,,,1.45,1,,,,,,,3.82,1,,,,,,,9.91,1,,,,,,,10.73,1,,,,,,,27.27,1,,,,,,
Winter 24/25,Lutoban Pier,1.05,1,,,,,,,2.18,1,,,,,,,1.5,1,,,,,,,7.14,1,,,,,,,18.45,1,,,,,,,30.32,1,,,,,,
Spring 2025,Lutoban Pier,1.67,1,,,,,,,3.11,1,,,,,,,2.72,1,,,,,,,11.56,1,,,,,,,21.33,1,,,,,,,40.39,1,,,,,,
Summer 2025,Lutoban Pier,1.39,1,,,,,,,3.09,1,,,,,,,3.78,1,,,,,,,12.35,1,,,,,,,26.65,1,,,,,,,47.26,1,,,,,,
